instance,generator_assignments,continuous_parameters,cost,penalty,job_ind,total_jobs,avg_inner,optimized_bitstrings,history,error
42,,,,,,,,,,Timeout after 1800s
43,,,,,,,,,,Timeout after 1800s
44,,,,,,,,,,Timeout after 1800s
45,,,,,,,,,,Timeout after 1800s
46,,,,,,,,,,Timeout after 1800s
47,,,,,,,,,,Timeout after 1800s
48,,,,,,,,,,Timeout after 1800s
49,,,,,,,,,,Timeout after 1800s
50,,,,,,,,,,Timeout after 1800s
51,,,,,,,,,,Timeout after 1800s
52,,,,,,,,,,Timeout after 1800s
53,,,,,,,,,,Timeout after 1800s
54,,,,,,,,,,Timeout after 1800s
55,,,,,,,,,,Timeout after 1800s
56,,,,,,,,,,Timeout after 1800s
57,,,,,,,,,,Timeout after 1800s
58,,,,,,,,,,Timeout after 1800s
59,,,,,,,,,,Timeout after 1800s
60,,,,,,,,,,Timeout after 1800s
61,,,,,,,,,,Timeout after 1800s
62,,,,,,,,,,Timeout after 1800s
63,,,,,,,,,,Timeout after 1800s
64,,,,,,,,,,Timeout after 1800s
65,,,,,,,,,,Timeout after 1800s
66,,,,,,,,,,Timeout after 1800s
67,,,,,,,,,,Timeout after 1800s
68,,,,,,,,,,Timeout after 1800s
69,,,,,,,,,,Timeout after 1800s
70,,,,,,,,,,Timeout after 1800s
71,,,,,,,,,,Timeout after 1800s
72,,,,,,,,,,Timeout after 1800s
73,,,,,,,,,,Timeout after 1800s
74,,,,,,,,,,Timeout after 1800s
75,,,,,,,,,,Timeout after 1800s
76,,,,,,,,,,Timeout after 1800s
77,,,,,,,,,,Timeout after 1800s
78,,,,,,,,,,Timeout after 1800s
79,,,,,,,,,,Timeout after 1800s
80,,,,,,,,,,Timeout after 1800s
81,,,,,,,,,,Timeout after 1800s
82,,,,,,,,,,Timeout after 1800s
83,,,,,,,,,,Timeout after 1800s
84,,,,,,,,,,Timeout after 1800s
85,,,,,,,,,,Timeout after 1800s
86,,,,,,,,,,Timeout after 1800s
87,,,,,,,,,,Timeout after 1800s
88,,,,,,,,,,Timeout after 1800s
89,,,,,,,,,,Timeout after 1800s
90,,,,,,,,,,Timeout after 1800s
91,,,,,,,,,,Timeout after 1800s
92,,,,,,,,,,Timeout after 1800s
93,,,,,,,,,,Timeout after 1800s
94,,,,,,,,,,Timeout after 1800s
95,,,,,,,,,,Timeout after 1800s
96,,,,,,,,,,Timeout after 1800s
97,,,,,,,,,,Timeout after 1800s
98,,,,,,,,,,Timeout after 1800s
99,,,,,,,,,,Timeout after 1800s
100,,,,,,,,,,Timeout after 1800s
101,,,,,,,,,,Timeout after 1800s
102,11111111101,"[0.4556767878947016, 0.2634073277926047, 0.6827865780410339, 0.252151999634875, 0.6590177103008813, 0.506721831616352, 0.26828862022464633, 0.3961162372411654, 0.41019438692081267, 0.0, 0.605617987964352, 0.008822572089164447, 0.021751083911976027, 0.033073754535849334, 0.0077563003090059075, 0.019471981872677166, 0.0762771138939857, 0.017461776029067993, 0.049676233373268604, 0.05529108054925402, 0.0, 0.027516874406876574, 1.000109016811201, 1.0110238744518865, 1.001943839032092, 1.0020215260768548, 1.0110031827267312, 1.002191714401771, 1.0125688141469507, 0.9826856250132103, 1.0108685899201182, 0.9860040789189459, 1.0017509555316078, 0.0, 0.022862269893455425, 0.0078266486153781, 0.008030057724165929, 0.02279709475542882, 0.008392884771269968, 0.025944037516934415, -0.03633243086784424, 0.022497875699085536, -0.02939462993864546, 0.007184058677758069]",12.322775015802467,0.0,,,,,"[{""time"": 252.4588412658777, ""job_ind"": null, ""result"": {""generator_statuses"": ""11111111101"", ""params"": [0.4556767878947016, 0.2634073277926047, 0.6827865780410339, 0.252151999634875, 0.6590177103008813, 0.506721831616352, 0.26828862022464633, 0.3961162372411654, 0.41019438692081267, 0.0, 0.605617987964352, 0.008822572089164447, 0.021751083911976027, 0.033073754535849334, 0.0077563003090059075, 0.019471981872677166, 0.0762771138939857, 0.017461776029067993, 0.049676233373268604, 0.05529108054925402, 0.0, 0.027516874406876574, 1.000109016811201, 1.0110238744518865, 1.001943839032092, 1.0020215260768548, 1.0110031827267312, 1.002191714401771, 1.0125688141469507, 0.9826856250132103, 1.0108685899201182, 0.9860040789189459, 1.0017509555316078, 0.0, 0.022862269893455425, 0.0078266486153781, 0.008030057724165929, 0.02279709475542882, 0.008392884771269968, 0.025944037516934415, -0.03633243086784424, 0.022497875699085536, -0.02939462993864546, 0.007184058677758069], ""fun"": 12.322775015802467, ""penalty"": 0, ""total"": 12.322775015802467, ""extra"": {}}}]",Timeout after 1800s
103,,,,,,,,,,Timeout after 1800s
104,,,,,,,,,,Timeout after 1800s
105,,,,,,,,,,Timeout after 1800s
106,,,,,,,,,,Timeout after 1800s
107,,,,,,,,,,Timeout after 1800s
108,,,,,,,,,,Timeout after 1800s
109,,,,,,,,,,Timeout after 1800s
110,,,,,,,,,,Timeout after 1800s
111,,,,,,,,,,Timeout after 1800s
112,,,,,,,,,,Timeout after 1800s
113,,,,,,,,,,Timeout after 1800s
114,,,,,,,,,,Timeout after 1800s
115,,,,,,,,,,Timeout after 1800s
116,,,,,,,,,,Timeout after 1800s
117,,,,,,,,,,Timeout after 1800s
118,,,,,,,,,,Timeout after 1800s
119,,,,,,,,,,Timeout after 1800s
